cartodb_id,from_iso,from_x,from_y,quantity,to_iso,to_x,to_y,created_at,updated_at,the_geom
5427,NL,5.580444,52.274688,19,AW,-69.975641,12.515629,2012/04/22  0:16:18,2012/04/22  0:16:18,
5428,AE,54.256172,23.85206,57,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5429,DO,-70.109933,18.852633,20,AT,14.300144,47.607798,2012/04/22  0:16:18,2012/04/22  0:16:18,
5430,GB,-1.428851,52.576441,14,RU,96.669705,61.994573,2012/04/22  0:16:18,2012/04/22  0:16:18,
5431,PE,-75.311132,-10.151093,70,DO,-70.109933,18.852633,2012/04/22  0:16:18,2012/04/22  0:16:18,
5432,PL,19.300636,52.12461,15,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5433,US,-97.922211,39.381266,16,DD,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5434,SR,-55.911826,3.692967,119,SG,103.808053,1.351616,2012/04/22  0:16:18,2012/04/22  0:16:18,
5435,BZ,-88.686007,17.216854,1,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5436,IT,12.646361,42.504154,19,TN,9.561168,34.110704,2012/04/22  0:16:18,2012/04/22  0:16:18,
5437,LA,102.593737,19.922589,84,MX,-102.53286,23.950464,2012/04/22  0:16:18,2012/04/22  0:16:18,
5438,AT,14.300144,47.607798,11,TR,35.179593,39.060481,2012/04/22  0:16:18,2012/04/22  0:16:18,
5439,CA,-105.75059,55.585901,793,ES,-3.280887,40.304531,2012/04/22  0:16:18,2012/04/22  0:16:18,
5440,SO,47.325853,5.786396,13,HK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5441,BZ,-88.686007,17.216854,6,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5442,AO,17.912292,-12.099395,78,US,-97.922211,39.381266,2012/04/22  0:16:18,2012/04/22  0:16:18,
5443,BS,-76.546624,25.243455,1,BM,-64.73701,32.31792,2012/04/22  0:16:18,2012/04/22  0:16:18,
5444,VN,108.339537,14.315424,43,CA,-105.75059,55.585901,2012/04/22  0:16:18,2012/04/22  0:16:18,
5445,TW,,,188,NZ,171.7799,-41.838875,2012/04/22  0:16:18,2012/04/22  0:16:18,
5446,PH,122.878708,11.741834,5,IL,34.865459,31.086887,2012/04/22  0:16:18,2012/04/22  0:16:18,
5447,PR,-66.462339,18.221329,9,VE,-65.801997,7.61957,2012/04/22  0:16:18,2012/04/22  0:16:18,
5448,CD,,,6,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
5449,CZ,15.338412,49.742859,30,KR,128.168944,36.536236,2012/04/22  0:16:18,2012/04/22  0:16:18,
5450,NZ,171.7799,-41.838875,14,MY,108.713972,3.198685,2012/04/22  0:16:18,2012/04/22  0:16:18,
5451,VE,-65.801997,7.61957,1,BM,-64.73701,32.31792,2012/04/22  0:16:18,2012/04/22  0:16:18,
5452,AE,54.256172,23.85206,1,SU,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
5453,TW,,,35,CH,8.234392,46.802496,2012/04/22  0:16:18,2012/04/22  0:16:18,
5454,TZ,34.823454,-6.270353,4,CY,33.221762,35.045882,2012/04/22  0:16:18,2012/04/22  0:16:18,
5455,NO,8.804821,61.248333,29,JP,138.59223,36.386493,2012/04/22  0:16:18,2012/04/22  0:16:18,
5456,UG,32.386218,1.279964,1,MX,-102.53286,23.950464,2012/04/22  0:16:18,2012/04/22  0:16:18,
5457,LA,102.593737,19.922589,5,GB,-1.428851,52.576441,2012/04/22  0:16:18,2012/04/22  0:16:18,
5458,JO,36.435863,31.010192,6,IL,34.865459,31.086887,2012/04/22  0:16:18,2012/04/22  0:16:18,
5459,ZA,23.913711,-28.378272,1,LT,23.931538,55.487413,2012/04/22  0:16:18,2012/04/22  0:16:18,
5460,ID,117.369878,-2.279866,114,GR,23.828554,38.589021,2012/04/22  0:16:18,2012/04/22  0:16:18,
5461,AR,-63.998128,-35.376184,47,GR,23.828554,38.589021,2012/04/22  0:16:18,2012/04/22  0:16:18,
5462,CO,-73.073215,3.900749,3,HK,,,2012/04/22  0:16:18,2012/04/22  0:16:18,
